,tittle,hash,chapter,kitsu_id
0,[PuyaSubs!] Golden Kamuy 3 - 26 [ESP-ENG][1080p][915B286].mkv,b5f173029b7e1e067f954a5a6a474c159fe97626,26,42435
1,[PuyaSubs!] Olympia Kyklos - 21 [ESP-ENG][720p][C322F56A].mkv,9a3051d7c16022ef2d961309f00a51b812f9932f,21,null
2,[PuyaSubs!] Olympia Kyklos - 21 [ESP-ENG][1080p][D4F9D1FC].mkv,240c1e601c9e89ac5827576542c63f9a224e7dcd,21,null
3,[PuyaSubs!] Himitsu Kessha Taka no Tsume - Golden Spell - 02 [ESP-ENG][720p][3C6FCB5C].mkv,d3efb06949e5ac6836ab041e68df825fd1782add,2,null
4,[PuyaSubs!] Himitsu Kessha Taka no Tsume - Golden Spell - 02 [ESP-ENG][1080p][858AE614].mkv,c47368222ab7afeb8d6e2175909e2a70d7f3e188,2,null
5,[PuyaSubs!] One Piece - 945 [ESP-ENG][720p][3C2B3F0C].mkv,10c2315397b970c3dafe7125e38a5cb0cf6722da,945,12
6,[PuyaSubs!] One Piece - 945 [ESP-ENG][1080p][DB2ABB4B].mkv,52ca8caae0a1446eb1c8bd72218314abad76e8c0,945,12
7,[PuyaSubs!] Boruto - Naruto Next Generations - 169 [ESP-ENG][720p][29129B88].mkv,da1fd9dcd9bf427fc13939552de763dacb4afb51,169,13051
8,[PuyaSubs!] Boruto - Naruto Next Generations - 169 [ESP-ENG][1080p][F257B3EC].mkv,340b5fc6d9f653bff035feeeec02f7ac7c46d9d4,169,13051
9,[PuyaSubs!] Healin Good Precure - 28 [ESP-ENG][720p][DB38B05E].mkv,e5f8e5e1d19fcf3525410f4894dfc48b1381a5dd,28,null
10,[PuyaSubs!] Healin Good Precure - 28 [ESP-ENG][1080p][BD15D612].mkv,d690222fb04264d200695aee21f95fd17561fda4,28,null
11,[PuyaSubs!] Digimon Adventure (2020) - 19 [ESP-ENG][720p][C0014142].mkv,93be6b28b6fa5c3b0326c3849d79645a4fc0ab08,19,null
12,[PuyaSubs!] Digimon Adventure (2020) - 19 [ESP-ENG][1080p][CBA5E841].mkv,5d27051485ecb9968c740f31a9aad756c199db2d,19,null
13,[PuyaSubs!] Iwa Kakeru! - Sport Climbing Girls - 02 [ESP-ENG][720p][294FC72B].mkv,81d5f98673d13a68f934d0e1ec4ac58fde7ff1f0,2,43535
14,[PuyaSubs!] Iwa Kakeru! - Sport Climbing Girls - 02 [ESP-ENG][1080p][4E4041E1].mkv,2dbccbd376718824a528c82f2332964731c6e408,2,43535
15,[PuyaSubs!] Gochuumon wa Usagi Desu ka - Bloom - 01 [ESP-ENG][720p][EA5D843E].mkv,d222429b2bee281a80c9050c3337fa978d5a9dac,1,null
16,[PuyaSubs!] Gochuumon wa Usagi Desu ka - Bloom - 01 [ESP-ENG][1080p][107B90B7].mkv,68e6258076ec14ba05dc512dd92644b73c157ed3,1,null
17,[PuyaSubs!] Hanyou no Yashahime - Sengoku Otogizoushi - 02 [ESP-ENG][V2][1080p][47B1A9B1].mkv,844d9e9af4fbe447367f3f3e4b926f53af090c62,2,43180
18,[PuyaSubs!] Major 2nd S2 - 21 [ESP-ENG][720p][3BA6A6CC].mkv,70ca7309e614e6738facc929c43be27f4ac13e12,21,null
19,[PuyaSubs!] Major 2nd S2 - 21 [ESP-ENG][1080p][C6D9AFD5].mkv,adc42714840071f50d0f6349e4f5f4c897d81e5b,21,null
20,[PuyaSubs!] Hanyou no Yashahime - Sengoku Otogizoushi - 02 [ESP-ENG][720p][5CD29CE8].mkv,315a44a26059db2ef4229968ff2557fd9291c873,2,43180
21,[PuyaSubs!] Dragon Quest - Dai no Daibouken (2020) - 02 [ESP-ENG][720p][CEEDD857].mkv,ae642a08bb23b64f6f8e01778a0cd1ea16c4d6c4,2,42900
22,[PuyaSubs!] Dragon Quest - Dai no Daibouken (2020) - 02 [ESP-ENG][1080p][E897CC03].mkv,5138c791f02c5ec3ecc30049972db36d7b96c997,2,42900
23,[PuyaSubs!] Haikyuu S4 - 15 [ESP-ENG][720p][F3794535].mkv,e2a6f33e13138671dd4221ddaf80da121531aa7c,15,null
24,[PuyaSubs!] Haikyuu S4 - 15 [ESP-ENG][1080p][437F5EB0].mkv,a361785225f762182793b2d4c277f69f58672a90,15,null
25,[PuyaSubs!] Inu to Neko Docchi mo Katteru to Mainichi Tanoshii - 02 [ESP-ENG][720p][5B452AA9].mkv,400689019735842cca23adba13b6268e2d7e95bf,2,43550
26,[PuyaSubs!] Inu to Neko Docchi mo Katteru to Mainichi Tanoshii - 02 [ESP-ENG][1080p][46DBB57F].mkv,08d8e048b12876e65241375dcbd76c34d34b7574,2,43550
27,[PuyaSubs!] Jujutsu Kaisen (TV) - 02 [ESP-ENG][720p][5B8647A6].mkv,ef8638a7067110368a677be7b064f87b42d357f0,2,null
28,[PuyaSubs!] Jujutsu Kaisen (TV) - 02 [ESP-ENG][1080p][29E8ABD1].mkv,09a6f643eb74480bfd2568c85251def6f1ee9939,2,null
29,[PuyaSubs!] Rail Romanesque - 02 [ESP-ENG][720p][847DC92A].mkv,1ca3499626f28b7192f9ccbce42eee6d0428b0de,2,43553
30,[PuyaSubs!] Rail Romanesque - 02 [ESP-ENG][1080p][1E41544B].mkv,e0c75160037167928cc0fd9c95ca8a16b47db68c,2,43553
31,[PuyaSubs!] Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III - 02 [ESP-ENG][720p][43310345].mkv,ce86dc5e73abe92ecbac7cb847871e6846543718,2,42583
32,[PuyaSubs!] Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III - 02 [ESP-ENG][1080p][31C4335E].mkv,58f3ed058aff3830f01e9931cbdf79668ea9fcca,2,42583
33,[PuyaSubs!] Tonikaku Kawaii - 02 [ESP-ENG][720p][86EC6C62].mkv,ecd0135e87f9348a119eb38ea3f41b81cd60690f,2,43034
34,[PuyaSubs!] Tonikaku Kawaii - 02 [ESP-ENG][1080p][F91DE802].mkv,b8527863167e7d14bed8f0e0d8f7cf18dc0dae6a,2,43034
35,[PuyaSubs!] 100-man no Inochi no Ue ni Ore wa Tatteiru - 02 [ESP-ENG][720p][B9EFE095].mkv,c7e47a41ac4f3bfb895ddaafec5b350e56813a21,2,43367
